,lgdp,limp,lipel,liva,lretail,linv
2011-07-01,960.0181187480052,466.4840137193308,825.8318830146228,542.8399358987983,985.3139760517112,1006.3167209341452
2011-10-01,961.6992479157252,473.122521499021,824.2940539276118,545.180569578135,987.0494154539718,1012.93455926406
2012-01-01,963.6484857217416,455.5180848868055,825.361819430769,547.4546062137999,989.624251614223,999.4124664294676
2012-04-01,965.5756668807416,468.5499560111903,826.328110643039,549.4947831382331,993.2211102303896,1020.6156181545284
2012-07-01,967.3247994949608,475.2295565155076,828.000142437597,551.8298699003474,995.9753136557592,1024.9301311561671
2012-10-01,969.4056520086808,475.7592623049565,830.8026507032823,554.1682042630629,998.8314514495484,1030.879717086954
2013-01-01,971.2607142695012,484.73849828976216,835.6366946166888,557.0135559885441,1000.8041057478844,1040.3555749262189
2013-04-01,972.9414930305234,486.6560714364149,834.0432146282928,558.8828674246222,1003.2232107688568,1038.6558498848776
2013-07-01,974.9828445231656,485.0999235358065,837.5076478744401,561.0113858940653,1005.774399632902,1043.128215692935
2013-10-01,976.72997803748,483.17696593911467,840.4069285140578,563.7217266523742,1007.8608002007096,1047.2913974268954
2014-01-01,978.6006089105792,492.9790776850392,839.6786717553139,565.4582407802076,1009.7945856056492,1053.8160997686318
2014-04-01,980.37782845303,486.1276973319043,840.8493774492897,567.573130003405,1013.1653206442966,1054.5352002660245
2014-07-01,982.0611523470136,484.1579068846951,842.4024716523772,569.4977314684246,1014.6969471201778,1057.9669064590942
2014-10-01,983.8267658200974,490.1018912644396,843.4941378799509,571.0090273489534,1016.5927984437598,1060.0891743807813
2015-01-01,985.4786355067188,481.47536605507344,844.3761913330354,572.3265083365742,1022.5087786853184,1063.9595184650532
2015-04-01,987.2216439983644,484.7217181526182,846.0707492429375,573.4935076224463,1024.991192349778,1063.7342730027815
2015-07-01,988.8674126386434,488.1784854342597,842.8099648222283,575.1980582366518,1028.435192319251,1068.5488718403196
2015-10-01,990.486319766762,484.4853688811413,843.8604426255839,576.528306071294,1031.0957018780791,1069.2038748512707
2016-01-01,992.0555493578952,481.027604124895,842.7946590902018,577.7788385433083,1031.0956153114453,1069.670111589258
2016-04-01,993.6729429304656,486.0809181550146,846.4087729729132,579.3729224879722,1032.761586132853,1072.9711707825795
2016-07-01,995.4067164168353,486.3898182834207,850.3317365880589,581.0672708757603,1035.948903396968,1073.706025903657
2016-10-01,997.1253181703676,487.9966398663224,853.3991309692118,582.6955035587282,1037.8491482097722,1077.3295730987704
2017-01-01,998.790752762963,489.526346407143,858.2344025052242,583.9682238159298,1037.3259881205736,1070.9458134969327
2017-04-01,1000.3619219387276,491.51317329611936,853.8210766638707,585.5827432523198,1042.1578155997115,1078.6438348492577
2017-07-01,1001.937285753344,493.9745771237603,859.3450281132991,587.3197755833598,1044.1729354281106,1080.4466667578258
2017-10-01,1003.4671007787172,495.2728144570402,857.0999325974764,588.6565712670256,1045.13502589859,1078.8629474590975
2018-01-01,1006.2647160165008,510.30291086300696,858.6514009122949,592.5161283881638,1042.613324023464,1089.071137491946
2018-04-01,1006.8507210279276,500.7182270766391,860.8696132877608,591.9972308933214,1045.2983021190794,1078.8439040168787
2018-07-01,1008.0107724851372,505.0536551047682,864.8081093095343,593.0496208184647,1045.976298127925,1081.8639428129957
2018-10-01,1009.1572467881688,505.7350817514732,863.0236121613424,594.0944663798496,1046.3090977163376,1085.2512901510747
2019-01-01,1013.6828306149564,514.4979152604243,867.9499098226291,599.7976921463628,1048.8082403126746,1086.6516824396274
2019-04-01,1012.6286459774124,506.3744628149876,867.1869447389867,596.771911613493,1050.4359421324834,1072.365605111512
2019-07-01,1013.6211791081256,500.4339429226698,867.3307656041018,597.9131545445417,1051.0941435370455,1064.2531731829683
2019-10-01,1014.4575073064576,503.1646422085898,870.1096829392844,598.9231186938673,1049.7263037375212,1060.1413964618714
2020-01-01,1008.1819948799885,490.0088875341503,864.2344569595157,584.7643979173104,1039.628987228746,1029.6088000570635
2020-04-01,1016.0874080657998,498.8870887235108,870.6126177797845,601.1127383093321,1039.763873593233,1066.965479948644
2020-07-01,1018.4308198532884,508.756030449335,870.0747321612738,603.1861959564931,1046.519937501165,1061.0533430496723
2020-10-01,1020.725722717388,508.3872937400392,876.8792023694937,606.1308457079192,1050.8586608116111,1057.588664011752
2021-01-01,1023.6849697898808,504.8928305003989,876.5427324900907,612.8059198657093,1049.041515376476,1070.1286832610033
2021-04-01,1024.336138938582,517.5792802036847,882.9621533555407,611.926547213432,1055.663018437868,1060.7862580422538
2021-07-01,1024.019384985257,508.9691319742527,880.7830891693651,610.1532731868622,1054.3822950420094,1062.7327132214668
2021-10-01,1025.484475210576,506.76755774953966,882.0315448355896,610.341834586061,1054.342474947059,1064.4765476242587
2022-01-01,1027.05339815995,506.1565704716438,884.9442237193143,616.0571881405825,1054.2705315877429,1078.2612079782418
2022-04-01,1025.699323878028,500.1159874454018,881.2203347753623,610.5567750394765,1041.9071024122943,1070.432598585754
2022-07-01,1028.2157026324312,503.4336744883757,886.5325752877156,614.7148530308261,1054.9696844002142,1071.4734278702365
2022-10-01,1028.7408874248056,502.7704558737655,885.5691944693367,615.774822292988,1051.836217697236,1072.5390322370383
2023-01-01,1030.9347337601555,508.4569910397741,890.7287437433672,616.460211806283,1054.7467408430118,1062.279089516696
2023-04-01,1032.136271061976,503.3934867156202,889.6615442430734,616.5489544474176,1058.3778799243537,1054.8392421443236
2023-07-01,1033.36204047529,505.5324539279269,891.0639697939818,618.8647831837241,1058.26861094405,1062.508978628127
2023-10-01,1034.1868162562514,511.6169529647804,892.0282145371466,620.6141627565098,1059.1284268235067,1063.5191772107398
2024-01-01,1035.4818659111977,506.42732954487207,893.6140340337023,621.8436854276061,1061.751315749621,1069.193905001311
2024-04-01,1036.7938178911063,511.6580902009242,894.5840829424179,623.4746086678141,1060.133089604827,1064.2689247058483
2024-07-01,1038.0195598384355,507.6011785575252,895.1660312483351,624.3418346917052,1060.8353723941357,1063.3902185500092
2024-10-01,1039.6314169713662,510.2505693015287,895.5048042326054,626.1382652620767,1062.90695832321,1065.974025434249
2025-01-01,1040.312040533402,510.02585011575417,898.212146279519,626.4932410045603,1063.6045617295545,1060.474438739416
2025-04-01,1041.9169773596673,510.3853561414296,897.5579601321783,629.586049612345,1064.1314329051838,1066.2701323282254
2025-07-01,1042.9326504775863,513.1461532406083,900.0014324372588,630.3614854636568,1063.800110715103,1058.9027052670608
2025-10-01,1044.1051464803784,509.6748734871305,904.273795518825,631.3014641504778,1064.1439604700147,1052.0306479619985
